"time","PM1.SSE","PM1.wconn.F_exc","WEC1.F_rad","WEC1.z","WEC1.v_z","WEC1.a_z"
330.4,-0.4996190595580441,-679800.0694551368,407351.22696298,-0.3331305672783932,0.1216611823208787,-0.07865988430064097
330.5,-0.4950695380286113,-618254.7807044657,390556.7812275401,-0.3213211959703421,0.1149118328294796,-0.05555122452593671
330.6,-0.4934708487706117,-552605.3834453319,371198.4694170199,-0.310063828237961,0.1106908241728242,-0.02824884887898032
330.7,-0.4943525591606742,-483385.098643058,349867.6287131313,-0.2990862588619348,0.1093698097107485,0.002283838534729709
330.8,-0.4966312147587676,-411128.1983202331,327144.2353301281,-0.2880839912042808,0.1112218392375894,0.03504251975653823
330.9,-0.498677686121039,-336367.4992669279,303585.9412092407,-0.2767302929701989,0.1164184036858555,0.06900321988484096
331,-0.4984383775625737,-259633.4789227619,279718.0940116858,-0.2646864138185758,0.125028434914289,0.1031424652095165
331.1,-0.4936007734032942,-181454.7958640515,256024.9681491842,-0.2516117970014236,0.1370193558623561,0.1364560973905561
331.2,-0.4817897626833101,-102359.9255908944,232942.1824328468,-0.237174113883918,0.1522598459929335,0.1679766591062794
331.3,-0.4607783207061711,-22879.56832551457,210850.517573799,-0.2210589211093536,0.1705243601440994,0.1967891312285911
331.4,-0.4286946870008369,56450.54990233755,190071.0471292304,-0.2029788045161009,0.191499048504539,0.2220450646673409
331.5,-0.384208289242957,135086.878449939,170861.7284214661,-0.1826818420441053,0.2147890858718176,0.2429749941261804
331.6,-0.3266783089458132,212475.6398558915,153415.3152715352,-0.1599593068815106,0.2399270945914865,0.2588992930131152
331.7,-0.2562518198747595,288051.2001402014,137858.6998558128,-0.1346524346009071,0.2663826273877214,0.269237354595397
331.8,-0.1739025858910243,361235.5531170977,124253.4959225017,-0.1066582456337727,0.2935724465027749,0.2735153572460135
331.9,-0.08140651706282721,431439.2112364609,112597.928226481,-0.07593425503968838,0.3208715451289125,0.2713724897057755
332,0.01874497570406438,498063.7334541304,102829.823242772,-0.04250210044957242,0.3476246909975146,0.26256590283315
332.1,0.123487368240256,560506.0473360195,94830.71822872091,-0.006449942558756355,0.3731584227798739,0.2469742511412985
332.2,0.2293702333048472,618164.6400335981,88430.88155501446,0.03206629742763964,0.3967933203819525,0.2246000600504523
332.3,0.3327747351235916,670447.6032235248,83415.22359537116,0.07282299010203555,0.4178564591745377,0.1955707406268174
332.4,0.4301444897334427,716782.4232630659,79529.89718432054,0.11553004605014,0.4356938981139393,0.1601384331307047
332.5,0.5182119167950395,756627.3127505361,76489.53406978921,0.1598334609027895,0.4496830870586775,0.1186784582836655
332.6,0.5942027380967445,789483.7868790431,73984.93202094924,0.2053190422622367,0.4592450566482511,0.0716864838713757
332.7,0.6560032255193685,814910.1012564064,71691.10971222943,0.2515173855052256,0.4638562430040351,0.01977415747333406
332.8,0.7022779793273195,832535.0912856653,69275.56300821615,0.2979099639951912,0.4630598128100059,-0.03633675225029528
332.9,0.7325301374636479,842071.890859657,66406.6161532306,0.3439363601682966,0.4564763011407612,-0.09582195582136868
333,0.7471006149919907,843330.9639550751,62761.72024337974,0.3890024828494017,0.4438134230054397,-0.1577639774256706
333.1,0.7471078457333842,836231.8602206275,58035.57368164804,0.4324897483130672,0.4248748316997547,-0.2211634281541944
333.2,0.7343341361148213,820813.1076601775,51947.93497557632,0.4737650497276593,0.3995676813919326,-0.2849522006851308
333.3,0.7110687652473776,797239.6838848314,44250.98924036121,0.5121914367101306,0.3679087387409171,-0.3480086878493089
